State,Number,Letter,Value,Quantity,Box
CA,1000,BB,$1.00 ,1,2
CA,1000,BD,$1.00 ,1,2
CA,1000,BF,$1.00 ,1,2
CA,1000,BH,$1.00 ,1,2
CA,1000,BI,$1.00 ,1,2
CA,1000,BJ,$1.00 ,1,2
CA,1000,BL,$1.00 ,1,2
CO,30,A,$2.00 ,1,2
CO,40,H,$1.00 ,1,2
CO,45,A,$2.00 ,1,2
CO,45,B,$2.00 ,1,2
CO,45,C,$2.00 ,1,2
CO,60,A,$0.35 ,1,2
CO,60,B,$0.35 ,1,2
CO,110,N,$0.50 ,1,2
CO,120,A,$0.35 ,1,2
CO,140,B,$0.35 ,1,2
CO,140,D,$0.35 ,1,2
CO,140,E,$0.35 ,1,2
CO,140,F,$0.35 ,1,2
CO,140,G,$0.35 ,1,2
CO,140,H,$0.35 ,1,2
CO,140,L,$0.75 ,1,2
CO,260,A,$0.35 ,1,3
CO,260,D,$0.35 ,1,3
CO,260,H,$0.35 ,1,3
CO,260,I,$0.35 ,1,3
CO,260,J,$0.35 ,1,3
CO,260,L,$0.75 ,1,3
CO,260,Q,$7.00 ,1,3
CO,260,R,$0.35 ,2,3
CO,260,S,$0.60 ,1,3
CO,260,T,$0.50 ,1,3
CO,260,V,$1.00 ,1,3
CO,260,X,$3.50 ,1,3
CO,280,C,$12.00 ,1,3
CO,300,D,$0.35 ,1,3
CO,340,B,$0.35 ,1,3
CO,340,E,$0.35 ,1,3
CO,340,H,$1.80 ,1,3
CO,340,K,$1.80 ,1,3
CO,340,L,$1.80 ,1,3
CO,340,M,$1.00 ,1,3
CO,340,N,$1.00 ,1,3
CO,340,O,$1.00 ,1,3
CO,340,Q,$2.00 ,1,3
CO,460,E,$1.00 ,1,3
CO,600,A,$4.50 ,1,3
CO,690,A,$0.50 ,1,3
CO,690,D,$2.00 ,1,3
CO,760,D,$0.35 ,1,3
CO,760,N,$0.50 ,1,3
CO,830,C,$9.00 ,1,3
CO,830,D,$8.50 ,1,3
CO,830,E,$7.50 ,1,3
CO,830,F,$7.00 ,1,3
CO,830,G,$6.50 ,1,3
CO,830,H,$6.50 ,1,3
CO,830,I,$6.00 ,1,3
CO,830,K,$5.00 ,1,3
CO,830,L,$4.50 ,1,3
CO,830,O,$3.00 ,1,3
CO,840,A,$0.50 ,1,3
CT,35,E,$0.35 ,1,3
CT,35,F,$0.35 ,1,3
CT,35,G,$0.35 ,1,3
CT,35,K,$0.50 ,1,3
CT,35,O,$0.60 ,1,3
CT,35,P,$1.10 ,1,3
CT,40,A,$0.35 ,1,3
CT,40,B,$0.35 ,1,3
CT,70,A,$0.35 ,1,3
CT,130,C,$1.00 ,1,3
CT,210,A,$0.35 ,1,3
CT,210,B,$0.35 ,1,3
CT,210,F,$1.00 ,1,3
CT,210,G,$1.50 ,1,3
CT,210,J,$1.25 ,1,3
CT,240,B,$1.00 ,1,3
CT,290,H,$0.35 ,1,3
CT,290,I,$0.35 ,1,3
CT,290,K,$0.35 ,1,3
CT,290,Lb,$0.35 ,1,3
CT,290,N,$0.35 ,1,3
CT,305,E,$0.75 ,1,3
CT,305,N,$0.35 ,1,3
CT,305,Ob,$0.35 ,1,3
CT,305,P,$1.00 ,1,3
CT,305,Q,$1.00 ,1,3
CT,305,R,$0.35 ,1,3
CT,320,Ba,$2.00 ,1,3
CT,320,C,$1.00 ,1,3
CT,340,A,$1.00 ,1,3
CT,345,A,$3.50 ,1,3
CT,415,A,$2.00 ,1,3
CT,520,A,$0.35 ,1,3
CT,520,B,$0.35 ,1,3
CT,520,C,$1.00 ,1,3
CT,520,E,$0.35 ,1,3
CT,550,E,$6.00 ,1,3
CT,550,F,$7.00 ,1,3
CT,560,A,$0.50 ,1,3
CT,560,C,$1.00 ,1,3
CT,560,D,$1.00 ,1,3
CT,560,G,$0.35 ,1,3
DE,900,C,$0.35 ,1,4
DE,900,D,$0.35 ,1,4
DE,900,E,$0.35 ,1,4
DC,500,C,$0.35 ,1,4
DC,500,D,$2.50 ,1,4
DC,500,E,$4.00 ,1,4
DC,500,Ib,$3.50 ,1,4
DC,500,K,$0.35 ,1,4
DC,500,P,$0.35 ,2,4
DC,500,Q,$0.35 ,1,4
DC,500,R,$0.35 ,1,4
DC,500,S,$0.35 ,1,4
DC,500,T,$0.35 ,1,4
DC,500,U,$0.50 ,1,4
DC,500,V,$0.50 ,1,4
DC,500,W,$0.50 ,1,4
DC,500,X,$0.50 ,1,4
DC,500,Y,$0.35 ,1,4
DC,500,Z,$0.35 ,1,4
DC,500,AA,$0.35 ,1,4
DC,500,AB,$0.35 ,1,4
DC,500,AC,$0.35 ,1,4
DC,500,AD,$0.35 ,1,4
DC,500,AL,$0.50 ,1,4
DC,500,AM,$0.35 ,1,4
DC,500,AN,$0.35 ,1,4
